m [mol],V [mL],c [mol/L],pOH,pH
0.001,10.0,0.0001,4.0,10.0
0.001,20.0,5e-05,4.301029995663981,9.698970004336019
0.001,30.0,3.3333333333333335e-05,4.477121254719663,9.522878745280337
0.001,40.0,2.5e-05,4.6020599913279625,9.397940008672037
0.001,50.0,2e-05,4.698970004336019,9.301029995663981
0.001,60.0,1.6666666666666667e-05,4.778151250383644,9.221848749616356
0.001,70.0,1.4285714285714285e-05,4.845098040014257,9.154901959985743
0.001,80.0,1.25e-05,4.903089986991944,9.096910013008056
0.001,90.0,1.1111111111111112e-05,4.954242509439325,9.045757490560675
0.001,100.0,1e-05,5.0,9.0
0.002,10.0,0.0002,3.6989700043360187,10.301029995663981
0.002,20.0,0.0001,4.0,10.0
0.002,30.0,6.666666666666667e-05,4.176091259055681,9.823908740944319
0.002,40.0,5e-05,4.301029995663981,9.698970004336019
0.002,50.0,4e-05,4.3979400086720375,9.602059991327963
0.002,60.0,3.3333333333333335e-05,4.477121254719663,9.522878745280337
0.002,70.0,2.857142857142857e-05,4.544068044350276,9.455931955649724
0.002,80.0,2.5e-05,4.6020599913279625,9.397940008672037
0.002,90.0,2.2222222222222223e-05,4.653212513775344,9.346787486224656
0.002,100.0,2e-05,4.698970004336019,9.301029995663981
0.003,10.0,0.00030000000000000003,3.5228787452803374,10.477121254719663
0.003,20.0,0.00015000000000000001,3.8239087409443187,10.176091259055681
0.003,30.0,0.0001,4.0,10.0
0.003,40.0,7.500000000000001e-05,4.1249387366083,9.8750612633917
0.003,50.0,6e-05,4.221848749616356,9.778151250383644
0.003,60.0,5e-05,4.301029995663981,9.698970004336019
0.003,70.0,4.2857142857142856e-05,4.367976785294594,9.632023214705406
0.003,80.0,3.7500000000000003e-05,4.425968732272281,9.574031267727719
0.003,90.0,3.3333333333333335e-05,4.477121254719663,9.522878745280337
0.003,100.0,3e-05,4.522878745280337,9.477121254719663
0.004,10.0,0.0004,3.3979400086720375,10.602059991327963
